glossary_he	citation	match	closest_A_prime_identifier
הפחתות שכר 2025-2026	2026 § 8 heading 'הפחתות שכר 2025-2026'	PARTIAL	שכר C3
הבסיס שעליו מחושבים הגמולים האחוזיים	2022 § 5.4 'לעניין חישוב תוספות אחוזיות המחושבות על בסיס השכר המשולב'	NONE	הבסיס
טבלאות השכר המשולב	§ 35 'טבלאות השכר המשולב החדשות'	PARTIAL	השכר המשולב של
מועדי תחילתן של טבלאות השכר	section title; the printed tables carry 'מעודכנת החל מיום 1.9.2016'	NONE	הפחתת השכר של
החודש, לפני ההפחתה ואחריה	2026 § 9 'תופחת משכורתו'	NONE	שורות התלוש לפני ההפחתה של
מרכיבי תלוש השכר	2026 § 8(a) 'רכיבי שכר'; 2026 § 17 'תלוש המשכורת'	NONE	חודש השכר
ההפחתה מגיעה גם לחיסכון של המורה	2026 § 12 'קרן השתלמות'	NONE	שורות התלוש לפני ההפחתה של
שיעורי העלייה המודפסים בשולי הטבלה	§ 35(b) 'יעודכנו בשיעורים ובמועדים'; the margins of the printed table carry 2% / 1% / 7.5%	NONE	העלייה לאחר 1.9.2016
הגמולים והתוספות	§ 39 'גמולי תפקיד'; 2022 § 5 'תוספת אופק 2022'	NONE	סעיף 42 — הגמולים שחדלו
ערך השעה, ומדוע העניין משנה	§ 31(a) 'לעניין הנושאים הבאים'	PARTIAL	ערך השעה
ערך השעה, למורה זו	§ 31 'חישוב ערך שעה'	PARTIAL	ערך השעה
השבוע, על אותן עובדות	§§ 15, 17 'מבנה שבוע העבודה'	NONE	ההערכה ממליצה על קידומו
שבוע העבודה, היקף המשרה וערך השעה	chapter heading 'מבנה שבוע העבודה החדש של מורים בין כתלי בית הספר'; § 31 'חישוב ערך שעה'	NONE	אופק חדש — שבוע העבודה והיקף המשרה
על מי חלה הרפורמה	§ 3 'הסכם זה יחול על כל העובדים המדורגים בדירוג עובדי הוראה'	NONE	ההערכה ממליצה על קידומו
תלושי שכר מחושבים	2026 § 17 'תלוש המשכורת'	NONE	שכר C3
יעל מבקשת דרגה 5	§ 38(b) 'קידום מדרגה 4 לדרגה 5'	NONE	דרגה
יעל בחצי משרה	§ 27 'משרה חלקית'	PARTIAL	שבוע יסודי בחצי משרה
יעל במעט פחות משליש משרה	§ 27(a) '1/3 משרה'; § 39(b) '1/3 משרה לפחות'	NONE	בחלקיות משרה
יעל — מחנכת בחטיבת ביניים, אחת עשרה שנות ותק	§ 17 'מורה בחטיבת ביניים'; § 39(a)(1) 'מחנך כיתה'; § 37 'ותק'	NONE	מורה בחטיבת ביניים ותק 26
תשלומי גישור או תוספת לקצבה שנרכשה	2026 § 18(5) 'תשלומי גישור או סכום תוספת לקצבה הנרכש מקופת גמל לקצבה'	NONE	תוספת אופק 2022
רכיב שכר	2026 § 8(a) 'רכיבי שכר אחרים'	EXACT	רכיב שכר
יום בשנת הלימודים 2022	same	PARTIAL	התקופה בשנת הלימודים תשפו
יום בשנת הלימודים 2026	same	PARTIAL	התקופה בשנת הלימודים תשפו
הפחתת שכר בשל שעת היעדרות	§ 31(a)(4) 'הפחתת שכר בשל שעת היעדרות'	EXACT	הפחתת שכר בשל שעת היעדרות
חטיבת ביניים	§ 17 'מורה בחטיבת ביניים'	EXACT	חטיבת ביניים
חודש שלאחר תחילת גמול התפקיד הבית ספרי	2022 § 22.1 as amended by 2026 § 19	NONE	בסיס גמול התפקיד
חודש בשנת הלימודים 2024	'שנת הלימודים' throughout the instruments	PARTIAL	התקופה בשנת הלימודים תשפו
חודש בתקופת ההפחתה הראשונה	2026 § 9(a)	NONE	שיעור ההפחתה המוסכם בתקופה הראשונה
חודש בתקופת ההפחתה השנייה	2026 § 9(b)	NONE	שיעור ההפחתה המוסכם בתקופה השנייה
מורה חדש ששובץ לפי סעיף 36	§ 7(j) 'מורה חדש'; § 36(a) 'ישובצו בטבלאות השכר בדרגה 1 ובותק 0'	PARTIAL	מורה חדש
תשלום חד פעמי עקב סיום עבודה	2026 § 18(1) 'תשלום חד פעמי המשולם לעובד או לשאיריו ... עקב סיום עבודה'	NONE	שבוע עבודה
תשלום המשולם על בסיס חודשי שבועי או יומי	2026 § 8(a), read the other way round	NONE	חודשי חופשה ללא תשלום
תשלום שאינו עתי ואינו מחושב על בסיס רכיבי שכר אחרים	2026 § 8(a) 'תשלומים שאינם משולמים על בסיס חודשי, שבועי או יומי ואינם מחושבים על בסיס רכיבי שכר אחרים'	NONE	בסיס
תשלומי פנסיה תקציבית	2026 § 18(4) 'תשלומי פנסיה תקציבית, המשולמת על פי דין או הסכם'	NONE	
יש מקום פנוי במכסה בדרגה	§ 38(i) 'בכפוף לקיומה של מכסה פנויה'	NONE	יש מכסה פנויה בדרגה
בית ספר יסודי	§ 15 'מורה בבית-ספר יסודי'	EXACT	בית ספר יסודי
קידום מדרגה 3	§ 38(b) 'קידום מדרגה 3 לדרגה 4'	NONE	בקשת קידום
קידום מדרגה 3 שנה אחת מוקדם מדי	fixture built on § 38(b)	NONE	מקרה 17 — קידום מדרגה 1 לדרגה 2 בתום שתי שנות שהייה
קידום לדרגה 7 כשיש מקום במכסה	fixture built on § 38(i) 'מכסה פנויה'	NONE	מספר החודשים המרבי לעיכוב קידום לדרגה
קידום לדרגה 7 כשהמכסה מלאה	fixture built on § 38(g)	PARTIAL	מקרה 18 — קידום לדרגה 7 כשמכסת ה־10% מלאה
קידום לדרגה 7 ללא הערכה	fixture built on § 38(e)(3)	NONE	מספר החודשים המרבי לעיכוב קידום לדרגה
עניין שלגביו מחושב ערך שעה	§ 31(a) 'הבסיס לחישוב ערך שעה לעניין הנושאים הבאים'	NONE	עניין ערך השעה
החזר הוצאות	2026 § 8(c) 'החזר הוצאות'	NONE	
תפקיד המזכה בגמול	§ 39 heading 'גמולי תפקיד אשר ימשיכו להתקיים ברפורמה'	PARTIAL	תפקיד מזכה בגמול
שורה בטבלת השכר המשולב	§ 35 'טבלת השכר המשולב'	PARTIAL	השכר המשולב של
שנת שבתון המקיימת תנאי מתנאי סעיף 38(c)(5)	§ 38(c)(5) 'שנת שבתון — אך ורק אם התקיים ... אחד התנאים הבאים'	NONE	מתקיימים תנאי סעיף 33(ה)
שנת שבתון שאינה מקיימת אף תנאי מתנאי סעיף 38(c)(5)	§ 38(d)(2) 'שנת שבתון שבה לא התקיים ... אחד התנאים המפורטים בסעיף קטן (ג)(5)'	NONE	מתקיימים תנאי סעיף 33(ה)
טבלת שכר	§ 35 'טבלת השכר המשולב', § 36 'שיבוץ בטבלאות השכר'	PARTIAL	שכר C3
פעילות בית ספרית	§ 31(a)(3) 'פעילויות בית ספריות'; § 30 heading	ALL-WORDS	דיווח פעילות בית ספרית
שנת לימודים	type; § 26(d), § 44(b)(4) 'שנת הלימודים' throughout	NONE	שנות שהייה אילו נספרה גם שנת חל"ת
שעת מילוי מקום	§ 31(a)(1) 'שעת מילוי מקום'; § 29 heading 'שעות מילוי מקום'	EXACT	שעת מילוי מקום
שעת מילוי מקום המבוצעת במקום שעת שהייה	§ 31(a)(2) 'שעת מילוי מקום המבוצעת במקום שעת שהיה'	PARTIAL	מילוי מקום במקום שעת שהייה
תפקיד פיקוח או מטה	2026 § 7 'המועסקים בשירות המדינה בתפקידי פיקוח ומטה'	NONE	גמול תפקיד
מורה	§ 7(b) 'מורה'	EXACT	מורה
מכללה להכשרת עובדי הוראה	2026 § 7 'המועסקים במכללות להכשרת עובדי הוראה'	NONE	הוראה רגילה
מבנה שבוע עבודה	§ 15 'מבנה שבוע העבודה למורה בהיקף משרה של 100%'	PARTIAL	שבוע עבודה
אקדמאי — בעל תואר שלישי	§ 36(d) 'מורה בעל תואר שלישי (ד"ר)'	PARTIAL	בעל תואר שלישי
אקדמאי — בעל תואר ראשון מוכר	§ 7(d),(e), § 36(c) 'מורה בעל תואר ראשון'	PARTIAL	בעל תואר ראשון
אקדמאי — בעל תואר שני מוכר	§ 36(c) 'מורה בעל תואר שני'	PARTIAL	בעל תואר שני
תואם עד כדי אגורה	'אגורה' is the coin; the follow-up-committee correction of 14.1.2025 reissued the tables to the agora	NONE	גיל 50 עד 54
כלל המשרות של עובדי הוראה	§ 38(g) defines '"כלל המשרות של עובדי הוראה"' expressly	PARTIAL	כלל המשרות
בקשה לקידום בדרגה	§ 38 'קידום בדרגות'; the record itself is an encoding device	PARTIAL	זכאי לקידום בדרגה
מוסד חינוך בתנאי אופק חדש	2026 § 6 'המועסקים במוסדות החינוך ... בתנאי אופק חדש'	NONE	אופק חדש — הטבלאות המודפסות
הסכום המשולם לקופת גמל לקצבה	2026 § 18(2) 'הסכום המשולם לקופת גמל לקצבה בעד עובד'	NONE	הסכום
גילום מס העובד בידי המעסיק	2026 § 8(d) 'גילום חלק מהמס החל על העובד אשר משולם בידי המעסיק'	NONE	אושר גמול נוסף בידי מנהל המחוז
מורה קיים שהומר לפי סעיפים 43 עד 50	§ 7(i) 'מורה קיים'; § 43 'ההמרה' (hamara)	NONE	מורה קיים
שעת עבודה מעבר למשרה מלאה	§ 33(c)(3) 'התגמול עבור שעת עבודה מעבר ל-100% משרה'	PARTIAL	שעות מעבר למשרה מלאה במקרה 13
תפקיד הדרכה בתנאי אופק חדש	2026 § 6 'המועסקים בתפקידי הדרכה בתנאי אופק חדש'	NONE	אופק חדש — גמולי תפקיד ותמורה לפי שעה
אולפן בתנאי אופק חדש	2026 § 6 'או באולפנים, בתנאי אופק חדש'	NONE	אופק חדש — הטבלאות המודפסות
רכז הערכה ומדידה	§ 39(a)(11) 'רכז הערכה ומדידה'	EXACT	רכז הערכה ומדידה
בדרגה 1	table column heading 'דרגה' 1..9; § 38 'קידום לדרגות'	ALL-WORDS	המשובצים בדרגה
בדרגה 2	table column heading 'דרגה' 1..9; § 38 'קידום לדרגות'	ALL-WORDS	המשובצים בדרגה
בדרגה 3	table column heading 'דרגה' 1..9; § 38 'קידום לדרגות'	ALL-WORDS	המשובצים בדרגה
בדרגה 4	table column heading 'דרגה' 1..9; § 38 'קידום לדרגות'	ALL-WORDS	המשובצים בדרגה
בדרגה 5	table column heading 'דרגה' 1..9; § 38 'קידום לדרגות'	ALL-WORDS	המשובצים בדרגה
בדרגה 6	table column heading 'דרגה' 1..9; § 38 'קידום לדרגות'	ALL-WORDS	המשובצים בדרגה
בדרגה 7	table column heading 'דרגה' 1..9; § 38 'קידום לדרגות'	ALL-WORDS	המשובצים בדרגה
בדרגה 8	table column heading 'דרגה' 1..9; § 38 'קידום לדרגות'	ALL-WORDS	המשובצים בדרגה
בדרגה 9	table column heading 'דרגה' 1..9; § 38 'קידום לדרגות'	ALL-WORDS	המשובצים בדרגה
מורה מוסמך שאינו אקדמאי	§ 7(f) 'מורה מוסמך' (mo're musmach)	PARTIAL	מורה מוסמך
כיתות בשכבה המרוכזת	§ 39(a)(9) 'מספר הכיתות בשכבה'; § 15 table column 'מספר הכיתות בשכבה של ממונה השכבה'	NONE	כיתות א' עד ו'
שירות חובה בצה״ל	§ 37(a) 'למעט תקופת שירות חובה בצה"ל'	PARTIAL	שנות שירות חובה בצבא
היקף המשרה	§ 27 'היקף משרה'. The agreement uses היקף משרה and חלקיות משרה interchangeably; this encoding assigns היקף המשרה to the record field and חלקיות המשרה to the free parameter, to keep them distinct	EXACT	היקף המשרה
שעות פרונטליות	§ 15(b) 'שעות העבודה הפרונטליות בפני כיתה'; the table column is headed 'שעות פרונטאליות'	NONE	שעות ביום ו
ממונה שכבה	§ 39(a)(9) 'ממונה (רכז) שכבה'; § 15 'ממונה שכבה'	EXACT	ממונה שכבה
מחנך כיתה שאינה כיתה א׳	2022 § 10.1.1.1 '10% מהשכר המשולב למחנך כתה שאינה כתה א׳'	PARTIAL	מחנך כיתה
מחנך כיתה א׳	§ 39(a)(2) 'מחנך כיתה א׳'	PARTIAL	מחנך כיתה
שעות פרטניות	§ 15(c); the table column is headed 'שעות פרטניות'	PARTIAL	פרטניות
בוצעה ביום החופשי של המורה	§ 29(c) 'המבצע שעת מילוי מקום ביום החופשי שלו'	NONE	המורה
בוצעה במקום שעת שהייה שהושלמה ביום אחר	§ 29(e) 'ובוחר לבצע אותה שעת שהיה ביום אחר'	PARTIAL	מילוי מקום במקום שעת שהייה שתבוצע ביום אחר
בוצעה במקום שעת שהייה שלא הושלמה	§ 29(d) 'במקום שעת שהיה באותו יום ... ולא תשולם לו התמורה הרגילה'	PARTIAL	מילוי מקום במקום שעת שהייה
רכז מעבדה	§ 39(a)(10) 'רכז מעבדה'	EXACT	רכז מעבדה
חופשת לידה לפי חוק	§ 38(c)(1) 'חופשת לידה לפי חוק'	ALL-WORDS	חודשי חופשת לידה לפי חוק
שירות לאומי בהוראה	§ 37(a) 'שירות לאומי בהוראה'	ALL-WORDS	שנות שירות לאומי בהוראה
המשכורת החודשית הרגילה	2026 § 25 'בנוסף על משכורתו החודשית הרגילה'	NONE	
חופשת מנוחה בשכר או חופשת מחלה בשכר	§ 38(c)(4) 'חופשת מנוחה בשכר וחופשת מחלה בשכר'	NONE	חודשי מנוחה ומחלה בשכר
שעות שהייה	§ 15(d) defines '(להלן: "שעות השהיה")'	PARTIAL	שהייה
הקידום מדרגה מחייב הערכה	§ 38(e)(3) 'תוצאות ההערכות של המורה ... שיש בהן כדי להמליץ על קידומו'	NONE	רכז הערכה ומדידה
ההסמכה	record field; § 7(f)-(h) 'הסמכה'	ALL-WORDS	חודשי לימודי ההסמכה הנספרים
דרגה	§§ 36, 38 'דרגה' (darga); table margin row is headed 'דרגה'	EXACT	דרגה
שירות מילואים	§ 38(c)(2) 'שירות מילואים'	ALL-WORDS	חודשי שירות מילואים
רכז זהירות בדרכים	§ 39(a)(6) 'רכז זהירות בדרכים (ז.ה.ב.)'	EXACT	רכז זהירות בדרכים
תפקידים	§ 39 'בגין מילוי התפקידים הבאים'	ALL-WORDS	מקרה 10 — מורה הממלא שלושה תפקידים מזכים, בלי אישור מנהל מחוז ועם אישורו
סעיף 36(e) מונע מהמורה להתקדם בדרגה	§ 36(e) 'לא יוכל להתקדם בדרגות'	NONE	המשובצים בדרגה
רכז ביטחון	§ 39(a)(7) prints 'רכז בטחון'; the plene spelling ביטחון is used here and noted	NONE	רכז בטחון
מורה בכיר שאינו אקדמאי	§ 7(g) 'מורה בכיר' (mo're bachir)	PARTIAL	מורה בכיר
ותק בשנים	§ 37 'ותק בהוראה' (vetek); table margin column is headed 'ותק'	NONE	ותק במקרה 14
עבודה כמנהל או כסגן מנהל ראשון שלא הקנתה קידום	§ 38(c)(3) 'תקופת עבודה רצופה בה שימש המורה כמנהל או כסגן מנהל ראשון, ואשר לא הקנתה לו קידום בדרגה'	NONE	חודשי ניהול שלא הקנה קידום
רכז חינוך חברתי	§ 39(a)(8) 'רכז חינוך חברתי'	EXACT	רכז חינוך חברתי
ניתן אישור מיוחד	§ 27(c) 'אושרו על ידי מנהל אגף כוח אדם בהוראה במשרד החינוך'	NONE	גמול חינוך מיוחד
שיעור גמול חינוך מיוחד	§ 39(a)(3) '5.5%, 8.5%, 9% או 14% מהשכר המשולב'; § 39(c) 'גמול חינוך מיוחד'	EXACT	שיעור גמול חינוך מיוחד
רכז מקצוע	§ 39(a)(5) 'רכז מקצוע'	EXACT	רכז מקצוע
מלמד בחינוך מיוחד	§ 39(a)(3) 'מורה לחינוך מיוחד'	PARTIAL	הוראה בחינוך מיוחד
ותק בהוראה המוכר בתקנון שירות עובדי הוראה	§ 37(a) 'ותק בהוראה ... כהגדרתו היום בתקנון שירות עובדי הוראה'	NONE	טקסונומיית רכיבי השכר — תקנון שירות עובדי הוראה סעיף 1.1
שירות בצה״ל בהוראה	§ 37(a) 'שירות בצה"ל בהוראה'	PARTIAL	שנות שירות בצבא בהוראה
הסכם 2026 חל על עבודה במקום	2026 § 6 'הסכם זה יחול על כל העובדים'	NONE	חל הסכם מאושר
טבלת תואר ראשון — קוד דירוג 101	table heading: 'טבלת שכר למורים בעלי תואר BA (קוד דירוג 101)'; § 36(c) 'טבלת השכר לבעלי תואר ראשון'	PARTIAL	קוד דירוג
מספר השנה העברית של שנת הלימודים	2022 § 22.1 'תשפ"ו'; 2026 § 19 'תשפ"ז'. Label arithmetic (opening year + 3761), NOT a calendar conversion — 1.9.2025 is still 5785 in the Hebrew calendar	NONE	מספר הדרגה של
טבלת תואר שני — קוד דירוג 102	table heading: 'טבלת השכר למורים בעלי תואר MA (קוד דירוג 102)'	PARTIAL	קוד דירוג
מספר השעות הנוספות הנדרשות בשנת הלימודים תשפ״ו	2026 § 24 'בשנת הלימודים תשפ״ו ... שעת הוראה פרונטלית בודדת'	NONE	מספר השעות
שעות הפעילות לאחר שעות בית הספר	§ 30(c)	PARTIAL	פעילות לאחר שעות בית הספר
שעות הפעילות לאחר שעות בית הספר המותרות במחצית	§ 30(c) 'פעילות לאחר שעות בית הספר — מסיבה נושאית, מסיבת סיום וכדו׳ (עד 6 שעות במחצית)'	PARTIAL	פעילות לאחר שעות בית הספר
הגיל ביום 31 בדצמבר של שנת הלימודים	§ 26(d) 'על-פי גילו ביום 31 בדצמבר באותה שנת הלימודים'	NONE	היום שבו נקבע הגיל לעניין שעות הגיל — 31 בדצמבר
הגיל ביום 31 בדצמבר של שנת הלימודים עבור	§ 26(d) 'על-פי גילו ביום 31 בדצמבר באותה שנת הלימודים'. Distinct from ofek-worktime's parameter `the age on 31 December of the school year`, which is the number this function computes	NONE	היום שבו נקבע הגיל לעניין שעות הגיל — 31 בדצמבר
הגיל בתאריך	§ 26(b)-(c) 'מורה ... שגילו 55 ומעלה' / '50 ומעלה'	NONE	רצועת הגיל
הקצובה כולל הצמדה למדד	2026 § 20(a)(1)(a) 'כולל הצמדה למדד המחירים לצרכן'	NONE	סעיף 32 להסכם הבסיס — הסדר תמורה כולל
הקצובה ללא הצמדה למדד	2026 § 20(a)(1)(a) 'ללא הצמדה למדד המחירים לצרכן'	NONE	חודשי חופשה ללא תשלום
שעות האסיפה הבית ספרית	§ 30(c)	NONE	שעות פעילות בית ספרית ביום
שעות האסיפה הבית ספרית המותרות במחצית	§ 30(c) 'אסיפה בית ספרית כללית (עד 4 שעות במחצית)'	NONE	תקרת שעות פעילות בית ספרית במחצית
הבסיס לעניין זה	§ 31(a) 'הבסיס לחישוב ערך שעה לעניין הנושאים הבאים'	NONE	הבסיס
הכיתות בשכבה	§ 15 table column 'מספר הכיתות בשכבה של ממונה השכבה'	ALL-WORDS	מספר הכיתות בשכבה
קצובת ביגוד	2026 § 8(b) 'קצובת ביגוד'	EXACT	קצובת ביגוד
הפחתת קצובת ביגוד 2025	2026 § 20(a)(2) '(להלן: הפחתת קצובת ביגוד 2025)'	PARTIAL	קצובת ביגוד
השכר המשולב	§ 36(d)(2) 'שכרו המשולב'	ALL-WORDS	השכר המשולב של
השכר המשולב למשרה מלאה	§ 39(b) '"שכר משולב" - שכר משולב למשרה מלאה (100%)'	EXACT	השכר המשולב למשרה מלאה
השכר המשולב המשתלם עבור	§ 35 'השכר המשולב'	PARTIAL	השכר המשולב של
הרכיב	2026 § 8(a) 'רכיבי שכר'	EXACT	הרכיב
הרכיב נכלל בבסיס הקובע	2026 § 8 'הבסיס הקובע'	PARTIAL	נכלל בבסיס הקובע
הדרגה הנוכחית	§ 38(b) 'שהייה בדרגה הקודמת'	EXACT	הדרגה הנוכחית
מועד כניסת סעיף 22 לתוקף לאחר הדחייה	2026 § 19 substitutes 'החל בשנת הלימודים תשפ״ז (המתחילה ביום 1.9.2026)'	NONE	ערך שעה — סעיף 31, כנוסחו לאחר סעיף 19 להסכם ההשלמה
המועד שבו היה סעיף 22 אמור להיכנס לתוקף תחילה	2022 § 22.1 'החל משנת הלימודים תשפ״ו (המתחילה ביום 1.9.2025)'	NONE	חל סעיף 33(ה)
מועד תחילת טבלאות ינואר 2015	table heading 'מעודכנות החל מיום 1.1.2015'	NONE	
מועד תחילת טבלאות ספטמבר 2016	table heading 'מעודכנת החל מיום 1.9.2016'	NONE	סעיף 4(ג) להסכם ספטמבר 2016 אינו בקורפוס
מועד תחילת טבלאות ספטמבר 2022	appendices alef-1/alef-2 of the 2022 agreement carry 1.9.22	NONE	סעיף 4(ג) להסכם ספטמבר 2016 אינו בקורפוס
מועד תחילת הסכומים השקליים המזעריים	2022 § 10.1.1 'החל מיום 1.9.2023'	NONE	
מועד הגדלת תוספת אופק 2022	2022 § 5.2 'החל מיום 1.9.2023 תוספת אופק 2022 תהיה כמפורט בנספחים ג1 עד ג7'	PARTIAL	תוספת אופק 2022
מועד תחילת תוספת אופק 2022	2022 § 5.1 'החל מיום 1.9.2022'	PARTIAL	תוספת אופק 2022
היום הוא יום שישי	§ 33(c)(2) 'וביום ו׳'	NONE	החודש הוא יולי
הבסיס הקובע	2026 § 8 '"הבסיס הקובע"' — a defined term of the agreement	ALL-WORDS	הבסיס הקובע במקרה 16
הבסיס הקובע של	2026 § 8	PARTIAL	הבסיס הקובע במקרה 16
המשכורת הקובעת לפנסיה תקציבית	2026 § 18(3) 'המשכורת הקובעת לחישוב תשלומי עובדים בפנסיה תקציבית'	NONE	משכורת קובעת לפנסיה לפי
מנהל המחוז אישר גמול נוסף	§ 39(c) 'למעט אם אישר מנהל המחוז לשלם גמול בגין תפקיד נוסף'	PARTIAL	אושר גמול נוסף בידי מנהל המחוז
תוספת התואר השלישי עבור	§ 36(d)(2)	PARTIAL	סכום תוספת התואר השלישי
תוספת התואר השלישי המשתלמת עבור	§ 36(d)(2)	PARTIAL	סכום תוספת התואר השלישי
שיעור תוספת התואר השלישי	§ 36(d)(2) 'תוספת שכר בשיעור של 5% משכרו המשולב בטבלה'	PARTIAL	סכום תוספת התואר השלישי
ההערכות ממליצות על קידום	§ 38(e)(3) 'שיש בהן כדי להמליץ על קידומו של המורה'	NONE	בקשת קידום
מספר יחידות הגמול המזערי לתפקיד בית ספרי	2022 § 22.2 'בין שתי יחידות גמול לחמש יחידות גמול, ביחידות שלמות'	NONE	הגמול משולם
היום הראשון של שנת הלימודים 2024	'שנת הלימודים' is the instruments' unit of time throughout	NONE	השיבוץ של
היום הראשון של תקופת ההפחתה הראשונה	2026 § 9(a) 'בתקופה שמיום 1.5.2025'	NONE	שורות התלוש לפני ההפחתה של
היום הראשון של שנת הלימודים	§ 44(b)(4) 'תחילת שנת הלימודים (1 בספטמבר)'	NONE	השיבוץ של
היום הראשון של תקופת ההפחתה השנייה	2026 § 9(b) 'בתקופה שמיום 1.1.2026'	NONE	שורות התלוש לפני ההפחתה של
החודש הראשון שבו נשלל קידום הוותק	2026 § 16 'החל במשכורת חודש ספטמבר'	NONE	הוותק
החלק הקבוע בהפחתת קצובת הביגוד	2026 § 20(a)(1)(b) 'סכום של 91 ₪'	NONE	סכום קצובת הביגוד לרמה 4
